0 0.7066600000000001
0.25 0.70446
0.5 0.69587
0.75 0.6898299999999999
1 0.68418
1.25 0.6802699999999999
1.5 0.6739200000000001
1.75 0.66612
2 0.6576500000000001
2.25 0.65159
2.5 0.64474
2.75 0.63651
3 0.62634
3.25 0.62437
3.5 0.61415
3.75 0.6033299999999999
4 0.5929599999999999
4.25 0.58699
4.5 0.57492
4.75 0.56643
5 0.55379
5.25 0.54581
5.5 0.5342100000000001
5.75 0.52488
6 0.5118199999999999
6.25 0.5009
6.5 0.49006000000000005
6.75 0.47741999999999996
7 0.46314999999999995
7.25 0.45355
7.5 0.44115000000000004
7.75 0.42954000000000003
8 0.41623
8.25 0.39992000000000005
8.5 0.39024000000000003
8.75 0.37373999999999996
9 0.36236999999999997
9.25 0.34733
9.5 0.33011999999999997
9.75 0.31644000000000005
10 0.30101
